Epoch: [29][2300/2689], lr: 0.00001	Time 6.136 (5.369)	Data 5.804 (5.032)	Loss 1.4303 (1.9876)	Prec@1 71.875 (48.975)	Prec@5 87.500 (76.812)
Epoch: [29][2320/2689], lr: 0.00001	Time 5.509 (5.371)	Data 5.176 (5.034)	Loss 2.7774 (1.9880)	Prec@1 40.625 (48.966)	Prec@5 59.375 (76.789)
Epoch: [29][2340/2689], lr: 0.00001	Time 5.996 (5.374)	Data 5.664 (5.037)	Loss 1.7838 (1.9884)	Prec@1 50.000 (48.949)	Prec@5 78.125 (76.786)
Epoch: [29][2360/2689], lr: 0.00001	Time 5.263 (5.377)	Data 4.924 (5.041)	Loss 2.4789 (1.9887)	Prec@1 31.250 (48.952)	Prec@5 71.875 (76.780)
Epoch: [29][2380/2689], lr: 0.00001	Time 5.723 (5.381)	Data 5.413 (5.044)	Loss 1.8574 (1.9880)	Prec@1 50.000 (48.943)	Prec@5 78.125 (76.798)
Epoch: [29][2400/2689], lr: 0.00001	Time 5.196 (5.383)	Data 4.864 (5.046)	Loss 1.7974 (1.9887)	Prec@1 53.125 (48.909)	Prec@5 81.250 (76.774)
Epoch: [29][2420/2689], lr: 0.00001	Time 5.512 (5.387)	Data 5.184 (5.051)	Loss 1.7102 (1.9883)	Prec@1 40.625 (48.912)	Prec@5 78.125 (76.789)
Epoch: [29][2440/2689], lr: 0.00001	Time 6.273 (5.392)	Data 5.938 (5.056)	Loss 1.7154 (1.9888)	Prec@1 46.875 (48.916)	Prec@5 81.250 (76.771)
Epoch: [29][2460/2689], lr: 0.00001	Time 6.069 (5.395)	Data 5.739 (5.059)	Loss 2.2465 (1.9882)	Prec@1 46.875 (48.926)	Prec@5 65.625 (76.775)
Epoch: [29][2480/2689], lr: 0.00001	Time 5.289 (5.399)	Data 4.949 (5.063)	Loss 2.2724 (1.9880)	Prec@1 53.125 (48.944)	Prec@5 84.375 (76.782)
Epoch: [29][2500/2689], lr: 0.00001	Time 6.148 (5.405)	Data 5.827 (5.069)	Loss 2.4425 (1.9890)	Prec@1 37.500 (48.927)	Prec@5 68.750 (76.758)
Epoch: [29][2520/2689], lr: 0.00001	Time 5.269 (5.408)	Data 4.949 (5.072)	Loss 1.6520 (1.9889)	Prec@1 53.125 (48.913)	Prec@5 81.250 (76.764)
Epoch: [29][2540/2689], lr: 0.00001	Time 5.386 (5.409)	Data 5.063 (5.073)	Loss 1.6404 (1.9890)	Prec@1 56.250 (48.902)	Prec@5 84.375 (76.746)
Epoch: [29][2560/2689], lr: 0.00001	Time 5.309 (5.412)	Data 4.982 (5.077)	Loss 2.1272 (1.9881)	Prec@1 46.875 (48.925)	Prec@5 65.625 (76.761)
Epoch: [29][2580/2689], lr: 0.00001	Time 5.884 (5.414)	Data 5.557 (5.078)	Loss 2.4262 (1.9877)	Prec@1 43.750 (48.910)	Prec@5 65.625 (76.779)
Epoch: [29][2600/2689], lr: 0.00001	Time 5.258 (5.416)	Data 4.906 (5.081)	Loss 2.0962 (1.9873)	Prec@1 37.500 (48.923)	Prec@5 75.000 (76.789)
Epoch: [29][2620/2689], lr: 0.00001	Time 5.404 (5.419)	Data 5.076 (5.083)	Loss 2.2381 (1.9878)	Prec@1 40.625 (48.913)	Prec@5 75.000 (76.781)
Epoch: [29][2640/2689], lr: 0.00001	Time 6.033 (5.420)	Data 5.709 (5.084)	Loss 1.5551 (1.9875)	Prec@1 53.125 (48.927)	Prec@5 87.500 (76.791)
Epoch: [29][2660/2689], lr: 0.00001	Time 5.832 (5.420)	Data 5.490 (5.084)	Loss 1.5816 (1.9875)	Prec@1 56.250 (48.945)	Prec@5 81.250 (76.793)
Epoch: [29][2680/2689], lr: 0.00001	Time 6.147 (5.423)	Data 5.824 (5.087)	Loss 2.3711 (1.9873)	Prec@1 31.250 (48.950)	Prec@5 68.750 (76.790)
Test: [0/361]	Time 7.346 (7.346)	Loss 3.5570 (3.5570)	Prec@1 25.000 (25.000)	Prec@5 46.875 (46.875)
Test: [20/361]	Time 6.173 (6.316)	Loss 3.3844 (3.1607)	Prec@1 9.375 (27.381)	Prec@5 53.125 (59.077)
Test: [40/361]	Time 5.761 (6.625)	Loss 3.4010 (3.2547)	Prec@1 31.250 (25.305)	Prec@5 56.250 (57.622)
Test: [60/361]	Time 9.509 (6.713)	Loss 2.8737 (3.3334)	Prec@1 31.250 (25.256)	Prec@5 59.375 (55.840)
Test: [80/361]	Time 5.858 (6.708)	Loss 3.0734 (3.3375)	Prec@1 34.375 (25.579)	Prec@5 62.500 (55.903)
Test: [100/361]	Time 7.203 (6.756)	Loss 3.0984 (3.3643)	Prec@1 18.750 (25.619)	Prec@5 62.500 (55.384)
Test: [120/361]	Time 5.740 (6.678)	Loss 3.4345 (3.3900)	Prec@1 18.750 (25.568)	Prec@5 46.875 (55.191)
Test: [140/361]	Time 6.297 (6.737)	Loss 4.5955 (3.3887)	Prec@1 25.000 (25.621)	Prec@5 40.625 (55.319)
Test: [160/361]	Time 5.714 (6.765)	Loss 2.7903 (3.4142)	Prec@1 31.250 (25.349)	Prec@5 65.625 (54.930)
Test: [180/361]	Time 6.423 (6.780)	Loss 3.0428 (3.4115)	Prec@1 34.375 (25.173)	Prec@5 59.375 (54.990)
Test: [200/361]	Time 5.975 (6.789)	Loss 3.7629 (3.4074)	Prec@1 15.625 (25.093)	Prec@5 31.250 (54.991)
Test: [220/361]	Time 6.315 (6.716)	Loss 3.5480 (3.4166)	Prec@1 21.875 (25.127)	Prec@5 50.000 (54.779)
Test: [240/361]	Time 5.911 (6.692)	Loss 2.7790 (3.4055)	Prec@1 25.000 (25.195)	Prec@5 65.625 (54.876)
